Participant ID,Condition,Event ID,Question Timestamp (s),Answer Timestamp (s),Time Difference (s),Answer Accuracy,Confidence
03_RT,B_L,E10_../audio/B/Flood_C.wav,139.20,144.13,4.93,Correct,7
03_RT,B_L,E11_../audio/B/Duck_PR.wav,157.01,158.53,1.52,Correct,7
03_RT,B_L,E12_../audio/B/Cone_E.wav,169.93,171.54,1.61,Correct,7
03_RT,B_L,E13_../audio/B/Deer_P.wav,201.99,204.57,2.58,Correct,7
03_RT,B_L,E14_../audio/B/School_P.wav,216.44,221.52,5.08,Correct,6
03_RT,B_L,E15_../audio/B/Cone_D.wav,229.71,231.54,1.83,Correct,7
03_RT,B_L,E16_../audio/B/Frost_P.wav,237.66,239.35,1.69,Correct,7
03_RT,B_L,E17_../audio/B/Blind_PR.wav,254.35,261.80,7.45,Correct,5
03_RT,B_L,E18_../audio/B/Cone_F.wav,269.51,272.20,2.69,Correct,7
03_RT,B_L,E19_../audio/B/Duck_P.wav,293.33,296.42,3.09,Correct,7
03_RT,B_L,E20_../audio/B/Flood_PR.wav,313.49,317.60,4.11,Correct,7
03_RT,B_L,E21_../audio/B/Cone_F.wav,324.70,327.75,3.05,Correct,7
03_RT,B_L,E22_../audio/B/School_PR.wav,362.15,366.33,4.18,Correct,6
03_RT,B_L,E23_../audio/B/Deer_PR.wav,376.08,377.31,1.23,Correct,7
03_RT,B_L,E24_../audio/B/Cone_D.wav,388.94,389.78,0.84,Correct,7
03_RT,B_L,E25_../audio/B/Blind_P.wav,396.39,398.82,2.43,Correct,7
03_RT,B_L,E26_../audio/B/Frost_PR.wav,408.03,414.50,6.47,Correct,5
03_RT,B_L,E27_../audio/B/Cone_E.wav,434.64,436.68,2.04,Correct,7
03_RT,C_R,E1_../audio/C/Mark_C.wav,22.81,27.83,5.02,Correct,4
03_RT,C_R,E2_../audio/C/BendR_P.wav,57.83,61.83,4.00,Correct,3
03_RT,C_R,E3_../audio/C/Cone_A.wav,84.20,87.71,3.51,Incorrect,2
